feature_id; dup_id; rank; sim
10501;7898;3;0.6307
13989;58412;281;0.1536
15267;23116;1;0.6057
15649;26977;1;0.6052
16339;41087;1;0.6562
17243;125522;579;0.0691
17693;58412;218;0.1741
17819;49618;20;0.3294
18709;3993;40;0.2392
19435;58412;128;0.1860
19617;12506;16;0.3308
19899;22422;2;0.3653
20248;41190;10;0.3166
20772;9679;30;0.2687
21901;49441;1;0.5871
22865;34730;1;0.2818
23125;47737;154;0.1240
24776;103187;10;0.3090
25209;28862;358;0.1407
25352;35606;26;0.1729
25990;19229;20;0.3568
26343;58412;32;0.2428
27490;58412;58;0.2106
28862;148730;28;0.1714
29604;43165;1;0.8937
29852;11423;1;0.7117
30216;54908;57;0.2234
31230;58412;30;0.1837
32259;32255;15;0.3692
34622;36185;2514;0.0213
35201;88866;1;0.1797
35313;58330;9;0.3327
35563;35583;89;0.1343
35566;58412;15;0.2996
35585;2710;9;0.2648
35594;58412;64;0.1897
35596;58412;95;0.2226
35880;192595;1;0.6145
35964;5616;2;0.4697
36520;13250;44;0.2913
39601;11833;1;0.6574
40033;43165;2;0.5600
40462;58330;5;0.3701
40898;38870;9;0.4651
40938;58412;31;0.2868
40992;56256;2;0.5111
41091;55627;21;0.4365
41261;146854;53;0.1002
41262;50129;5;0.5357
41421;58412;31;0.2251
41520;47114;24;0.2549
42021;33162;2;0.4560
42295;48937;46;0.1204
42510;40248;1;0.4839
43673;49441;3;0.4410
45031;129533;15;0.2108
45562;16849;1;0.6410
47939;2710;13;0.2409
48041;58412;7;0.1822
49555;20147;3;0.4017
49603;43201;1;0.5570
50078;46816;38;0.2593
50498;33096;1;0.7805
53252;191407;1;0.5336
53623;49619;174;0.1352
53828;43938;1;0.6512
54470;47854;1;0.7638
54496;51696;1;0.6276
54782;28103;149;0.0696
55043;44144;8;0.3491
55455;43165;2;0.7329
56189;30187;4;0.3674
56214;45137;7;0.3702
56855;39545;1;0.5650
57000;136929;56;0.1324
57071;46816;2;0.5775
57419;58412;156;0.1611
58049;47290;1;0.6316
58330;89627;1;0.4996
58347;67934;3;0.3773
58888;2710;3;0.2913
60535;42157;1;0.6774
60832;7067;2;0.3256
62946;201731;4;0.6366
63467;57728;1;0.7240
64028;42157;35;0.1623
64350;74855;4;0.3580
64390;64457;114;0.0599
64457;168257;410;0.0767
64789;39545;1;0.6015
64866;49504;2;0.2625
65008;82841;39;0.3106
65017;129899;4;0.2663
65945;15805;50;0.1187
66667;74562;2;0.5879
66836;166658;7;0.1595
67699;27444;1;0.6974
68056;47737;60;0.1911
68439;92737;6;0.4944
68536;83247;52;0.3726
70321;39545;1;0.4511
71251;46813;1;0.7967
71404;11434;24;0.2817
72491;122861;17;0.3950
72581;66781;55;0.1687
72909;74562;42;0.2438
73054;75362;1;0.5160
73556;38521;1;0.5024
74411;49618;11;0.3476
75035;91534;1;0.3811
75589;44144;1;0.4751
77702;49504;13;0.3962
79432;71418;1;0.6145
79498;124186;4;0.7095
81416;74562;7;0.4774
82154;82151;1;0.9928
82425;47737;3;0.4564
87536;43165;2;0.8688
87735;38615;2;0.5469
88243;126989;31;0.2371
89998;168257;8;0.2552
90346;48161;2;0.7244
90395;94607;1;0.4821
90919;49504;1;0.5745
91385;39545;1;0.4371
91953;91140;3;0.2666
92631;129899;1;0.5059
92998;91105;77;0.1888
95190;95191;1;0.9559
96117;157407;1;0.7007
96331;156693;14;0.3740
96402;58633;5;0.2713
96404;26338;1;0.5018
98437;98426;4;0.2600
100171;136636;521;0.0468
100517;129899;2;0.5262
101497;90182;1;0.6219
103190;146627;3;0.5100
103651;103701;2;0.7221
104204;102330;18;0.5557
104483;84852;2;0.6531
104488;103461;23;0.2526
104838;83247;11;0.3958
105055;105054;1;0.9165
108368;105468;1;0.6014
108937;67221;2;0.6486
109324;109288;1;0.5729
111171;89689;1;0.5565
115670;57798;8;0.3432
118239;49619;1062;0.0893
